Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,Month_December,Month_February,Month_July,Month_June,Month_March,Month_May,Month_November,Month_October,Month_September,VisitorType_Other,VisitorType_Returning_Visitor
-0.789,-0.659,-0.422,-0.241,-0.862,0.187,0.616,0.06,-0.086,-0.302,3,2,8,8,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.457,0.137,-0.422,-0.241,0.512,0.441,-0.726,-0.718,-0.086,-0.302,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0.541,2.13,-0.422,-0.241,-0.602,-0.632,-0.726,-1.01,-0.086,-0.302,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.75,-0.632,2.15,2.178,-0.086,3.811,2,2,4,13,0,0,0,0,0,0,0,1,0,0,0,0,1
0.873,0.142,-0.422,-0.241,-0.194,-0.632,-0.726,-0.917,-0.086,4.839,2,2,8,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1.206,2.13,-0.422,-0.241,0.178,-0.632,0.695,-0.335,-0.086,-0.302,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.825,-0.632,-0.726,-0.974,-0.086,-0.302,2,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1
-0.457,-0.601,-0.422,-0.241,-0.676,-0.632,-0.726,-1.059,-0.086,-0.302,4,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.457,-0.521,-0.422,-0.241,-0.491,-0.632,-0.726,-0.095,-0.086,-0.302,2,5,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.936,0.394,-0.726,0.718,-0.086,1.754,2,6,6,3,0,0,0,1,0,0,0,0,0,0,0,0,1
0.208,-0.659,-0.422,-0.241,-0.825,-0.632,-0.726,-0.88,-0.086,-0.302,3,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1
-0.789,-0.659,-0.422,-0.241,-0.528,1.884,-0.726,-0.692,-0.086,-0.302,1,8,3,6,1,1,0,0,0,0,0,0,1,0,0,0,1
-0.124,-0.096,0.332,-0.241,-0.75,1.884,-0.726,-0.538,-0.086,-0.302,2,2,3,4,0,1,0,0,0,0,0,1,0,0,0,0,0
0.208,-0.562,-0.422,-0.241,-0.491,-0.632,2.15,1.742,-0.086,-0.302,3,2,1,4,1,0,0,0,0,0,0,0,0,1,0,0,1
-0.789,-0.659,-0.422,-0.241,2.275,-0.632,0.24,0.231,-0.086,-0.302,2,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.862,0.286,2.15,2.034,-0.086,-0.302,4,2,3,13,0,0,0,0,0,0,0,0,1,0,0,0,1
0.873,2.13,-0.422,-0.241,-0.082,-0.632,0.467,-0.067,-0.086,-0.302,3,3,6,1,1,0,0,0,0,0,0,0,0,1,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.787,-0.632,-0.726,-0.128,-0.086,2.783,2,4,9,5,0,1,0,0,0,0,0,1,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-1.047,-0.632,2.15,2.178,-0.086,-0.302,2,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
1.87,-0.659,2.594,1.188,0.623,-0.632,-0.422,-0.689,-0.086,-0.302,1,1,3,3,1,1,0,0,0,0,0,0,1,0,0,0,1
0.208,0.379,0.332,-0.1,0.475,-0.632,-0.726,-0.384,-0.086,-0.302,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0.873,0.389,-0.422,-0.241,-0.528,1.884,-0.726,-0.841,-0.086,-0.302,2,2,6,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2.203,2.13,1.086,0.889,2.275,-0.632,-0.726,-0.819,-0.086,3.811,6,2,2,3,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-1.01,-0.296,-0.726,2.178,-0.086,-0.302,2,2,1,4,1,0,0,0,0,0,0,1,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.342,-0.578,0.079,-0.006,-0.086,-0.302,3,2,8,4,0,0,0,0,1,0,0,0,0,0,0,0,1
0.541,-0.659,-0.422,-0.241,2.275,-0.632,0.05,-0.376,-0.086,-0.302,2,5,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1
0.208,0.629,-0.422,-0.241,-0.491,-0.632,1.064,0.148,-0.086,-0.302,3,2,3,5,0,0,0,0,0,0,0,0,0,0,1,0,1
-0.789,-0.659,-0.422,-0.241,-0.676,1.884,2.15,1.735,-0.086,-0.302,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.124,0.808,1.086,0.294,-1.01,-0.632,-0.726,0.06,-0.086,-0.302,2,2,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0
-0.789,-0.659,-0.422,-0.241,-1.01,-0.632,2.15,2.178,-0.086,-0.302,1,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,1
0.541,1.795,-0.422,-0.241,-0.936,1.884,-0.726,-1.068,-0.086,-0.302,1,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0
0.208,-0.387,-0.422,-0.241,0.252,-0.632,-0.726,-1.016,-0.086,-0.302,2,2,1,10,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.268,-0.632,0.041,-0.88,-0.086,-0.302,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1
-0.457,-0.659,-0.422,-0.241,-0.787,-0.499,-0.726,-0.269,-0.086,-0.302,1,2,3,4,0,0,0,0,0,0,0,0,0,0,1,0,1
2.535,2.13,1.84,5.92,2.275,-0.632,-0.692,-0.935,-0.086,-0.302,2,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1
1.538,-0.659,-0.422,-0.241,0.512,-0.632,1.739,0.946,-0.086,-0.302,2,2,2,13,0,0,0,0,1,0,0,0,0,0,0,0,1
-0.124,-0.31,-0.422,-0.241,-0.528,-0.632,0.281,1.212,-0.086,-0.302,2,10,3,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0.208,0.107,1.086,0.158,0.14,-0.551,-0.238,-0.479,-0.086,3.811,2,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.899,1.025,2.15,1.903,-0.086,-0.302,3,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1
1.206,1.431,-0.422,-0.241,-0.565,1.884,-0.726,-0.841,-0.086,-0.302,2,2,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.457,0.144,-0.422,-0.241,0.029,-0.632,0.006,0.579,-0.086,-0.302,2,10,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1
0.541,0.738,-0.422,-0.241,-0.936,1.884,2.15,1.113,-0.086,-0.302,3,2,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-1.01,-0.632,2.15,2.178,-0.086,-0.302,1,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-1.01,-0.493,-0.726,2.178,-0.086,0.726,3,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.305,1.884,-0.726,-0.316,-0.086,-0.302,2,2,7,1,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.676,-0.254,0.738,1.257,-0.086,-0.302,2,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.124,0.321,-0.422,-0.241,1.514,-0.632,-0.492,-0.576,-0.086,-0.302,2,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.936,0.235,-0.726,-0.203,-0.086,-0.302,1,1,4,10,1,1,0,0,0,0,0,0,1,0,0,0,1
1.87,1.786,0.332,-0.136,-0.602,-0.632,1.958,1.192,-0.086,-0.302,2,2,1,13,0,0,0,0,0,0,0,0,0,1,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.676,-0.632,1.47,-0.239,-0.086,-0.302,3,2,6,2,1,0,1,0,0,0,0,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.936,-0.632,2.15,2.178,-0.086,-0.302,3,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.789,-0.659,0.332,0.091,1.18,-0.632,-0.726,-1.144,-0.086,-0.302,2,2,6,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2.535,-0.659,3.348,0.342,2.275,-0.632,-0.726,-0.764,-0.086,-0.302,2,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1
-0.457,0.457,-0.422,-0.241,-0.231,-0.632,-0.726,-0.913,-0.086,-0.302,4,5,1,8,1,1,1,0,0,0,0,0,0,0,0,0,0
-0.789,-0.659,-0.422,-0.241,-1.01,-0.306,-0.726,2.178,-0.086,0.726,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.124,-0.523,-0.422,-0.241,-0.973,0.019,-0.726,1.376,-0.086,-0.302,2,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.825,1.884,-0.726,0.06,-0.086,-0.302,2,2,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0
-0.124,-0.543,-0.422,-0.241,0.475,0.851,-0.601,-0.032,-0.086,-0.302,2,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.457,-0.62,0.332,-0.241,1.774,-0.632,-0.313,-0.211,-0.086,-0.302,2,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1
1.538,-0.659,0.332,0.064,-0.936,-0.632,-0.726,-0.818,-0.086,-0.302,3,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.789,-0.659,0.332,-0.155,0.92,-0.632,-0.433,-0.366,-0.086,-0.302,1,1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1
0.208,0.02,-0.422,-0.241,-0.491,1.884,-0.726,-0.792,-0.086,-0.302,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.787,1.884,1.287,0.718,1.614,-0.302,3,2,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.231,-0.632,0.324,-0.655,-0.086,-0.302,1,1,6,3,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.899,1.884,-0.726,-0.467,-0.086,-0.302,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1
-0.789,-0.659,-0.422,-0.241,-0.75,1.884,-0.726,-0.379,-0.086,-0.302,2,2,2,13,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.862,1.884,-0.726,0.06,-0.086,-0.302,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.825,-0.632,0.281,0.06,-0.086,-0.302,2,2,7,2,0,1,0,0,1,0,0,0,0,0,0,0,0
-0.457,-0.426,1.086,0.068,-0.231,-0.149,-0.726,-0.653,-0.086,-0.302,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.416,-0.577,-0.726,-0.013,-0.086,-0.302,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1
-0.789,-0.659,0.332,-0.194,-0.602,1.884,-0.726,-1.054,-0.086,1.754,2,2,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.457,-0.251,-0.422,-0.241,-0.231,-0.109,-0.726,-0.897,-0.086,-0.302,1,2,1,8,0,1,0,0,0,0,0,0,1,0,0,0,0
-0.457,0.777,-0.422,-0.241,-0.305,-0.632,-0.726,-0.861,-0.086,-0.302,2,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
2.535,-0.659,0.332,-0.186,1.959,-0.632,-0.378,-0.585,-0.086,-0.302,3,2,1,13,0,1,0,0,0,0,0,0,1,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.713,-0.632,-0.726,0.323,-0.086,-0.302,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.789,-0.659,-0.422,-0.241,0.215,-0.632,-0.266,-0.297,-0.086,0.726,2,2,6,3,0,1,0,0,0,0,0,1,0,0,0,0,1
0.208,0.51,-0.422,-0.241,-0.787,-0.632,0.885,-0.73,-0.086,-0.302,3,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0
1.538,-0.659,2.594,0.123,-0.119,-0.632,-0.726,-0.526,-0.086,-0.302,3,2,9,2,1,1,0,0,0,0,0,0,1,0,0,0,0
-0.789,-0.659,-0.422,-0.241,-0.899,0.128,-0.726,0.323,-0.086,-0.302,2,4,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-1.084,-0.632,2.15,2.178,-0.086,-0.302,2,2,7,6,0,0,0,0,0,1,0,0,0,0,0,0,1
0.208,-0.659,1.086,1.318,2.275,-0.632,-0.27,-0.608,-0.086,-0.302,2,2,3,13,1,0,0,0,0,0,0,0,0,1,0,0,1
-0.789,-0.659,-0.422,-0.241,-1.01,-0.563,-0.726,2.178,-0.086,-0.302,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.124,0.164,-0.422,-0.241,-0.194,-0.632,1.287,0.375,-0.086,-0.302,3,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.538,2.13,-0.422,-0.241,1.477,-0.632,0.225,0.108,-0.086,-0.302,1,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,1
-0.124,2.13,-0.422,-0.241,2.108,-0.632,1.147,0.367,-0.086,-0.302,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
-0.789,-0.659,1.84,-0.241,0.549,1.789,-0.726,-1.212,1.215,-0.302,1,1,8,2,1,1,0,0,0,0,0,1,0,0,0,0,1
-0.457,-0.562,-0.422,-0.241,2.275,-0.398,-0.726,-1.107,-0.086,-0.302,2,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0
0.541,0.806,-0.422,-0.241,-0.713,-0.632,1.132,0.262,-0.086,-0.302,1,1,3,2,1,1,0,0,0,0,0,0,0,1,0,0,1
0.873,0.773,-0.422,-0.241,-0.899,1.884,-0.726,-0.128,-0.086,-0.302,2,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.789,-0.659,-0.422,-0.241,1.551,-0.527,2.15,2.178,-0.086,-0.302,3,2,2,13,1,0,0,0,0,1,0,0,0,0,0,0,1
-0.457,-0.426,-0.422,-0.241,-0.602,-0.434,1.575,0.342,-0.086,-0.302,1,1,6,2,1,0,0,0,0,0,1,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-1.01,-0.434,-0.726,2.178,-0.086,-0.302,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.457,-0.659,1.086,-0.03,0.066,-0.213,0.808,0.295,-0.086,-0.302,2,2,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1.206,2.13,-0.422,-0.241,1.885,-0.632,0.167,-0.239,-0.086,-0.302,2,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.899,-0.04,-0.726,0.85,-0.086,-0.302,2,2,1,20,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.789,-0.659,0.332,-0.241,-0.676,-0.632,2.15,2.034,-0.086,-0.302,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.789,-0.659,0.332,-0.053,-0.082,-0.479,-0.428,-0.671,-0.086,-0.302,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0.541,0.831,-0.422,-0.241,1.105,-0.632,0.084,-0.374,-0.086,-0.302,2,6,2,7,0,0,0,0,1,0,0,0,0,0,0,0,1
2.535,2.13,-0.422,-0.241,2.275,-0.632,-0.726,-1.019,-0.086,-0.302,2,5,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.602,-0.632,-0.726,-0.791,-0.086,-0.302,3,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0
-0.457,-0.116,-0.422,-0.241,-0.565,1.884,0.425,-0.128,-0.086,-0.302,1,1,3,4,1,0,0,0,0,0,0,1,0,0,0,0,1
0.208,-0.329,-0.422,-0.241,1.551,-0.632,-0.278,-0.47,-0.086,-0.302,2,2,7,3,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.457,-0.513,-0.422,-0.241,1.254,-0.632,1.257,0.167,-0.086,-0.302,3,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.457,0.175,-0.422,-0.241,-0.119,-0.632,0.563,-0.48,-0.086,-0.302,1,1,1,10,1,0,1,0,0,0,0,0,0,0,0,0,1
1.206,0.728,-0.422,-0.241,1.848,1.197,2.15,1.461,-0.086,-0.302,2,2,9,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.206,1.145,1.086,-0.061,0.289,1.884,-0.451,-0.004,-0.086,-0.302,2,2,1,11,1,0,0,0,0,0,0,0,1,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.639,-0.518,2.15,2.178,-0.086,-0.302,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.457,0.769,0.332,0.003,0.846,-0.632,-0.428,-0.533,-0.086,-0.302,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1.206,-0.659,-0.422,-0.241,-0.268,-0.632,-0.726,-0.677,-0.086,-0.302,2,2,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.862,1.361,1.958,0.718,-0.086,1.754,2,2,6,4,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,0.103,1.069,-0.189,-0.203,-0.086,-0.302,2,2,6,3,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.124,-0.154,-0.422,-0.241,-0.268,-0.632,-0.726,-0.763,-0.086,-0.302,1,1,6,8,0,0,0,0,0,0,1,0,0,0,0,0,1
0.541,0.36,-0.422,-0.241,-0.676,1.884,-0.726,-0.953,-0.086,-0.302,3,2,6,11,1,0,0,0,0,0,0,0,1,0,0,0,0
-0.457,-0.392,-0.422,-0.241,0.103,-0.632,-0.658,-0.188,-0.086,-0.302,2,2,2,6,0,1,0,0,0,0,0,0,1,0,0,0,1
0.541,-0.659,4.102,0.576,2.275,-0.632,-0.289,-0.993,-0.086,-0.302,1,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.676,1.884,-0.726,0.06,-0.086,-0.302,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.75,1.884,-0.726,-0.269,-0.086,-0.302,1,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
0.208,-0.285,-0.422,-0.241,-0.787,-0.632,-0.726,0.598,-0.086,-0.302,3,2,1,10,1,0,0,0,0,0,0,0,1,0,0,0,1
1.538,-0.659,7.117,6.815,2.275,-0.632,-0.496,-0.76,-0.086,-0.302,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.124,0.592,0.332,-0.241,2.275,-0.632,-0.449,-0.411,-0.086,-0.302,2,2,1,13,0,1,0,0,0,0,0,0,1,0,0,0,1
-0.124,0.398,2.594,-0.01,-0.676,0.41,-0.726,-0.203,-0.086,-0.302,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2.203,-0.659,0.332,-0.139,0.475,-0.632,2.15,0.936,-0.086,-0.302,3,2,1,13,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.457,-0.562,-0.422,-0.241,1.328,-0.632,-0.47,-0.859,-0.086,-0.302,3,2,3,6,1,0,1,0,0,0,0,0,0,0,0,0,1
1.87,-0.659,-0.422,-0.241,-0.528,-0.632,-0.726,-0.771,-0.086,-0.302,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.457,2.13,-0.422,-0.241,-0.899,1.884,-0.726,1.113,-0.086,2.783,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1
2.535,2.13,-0.422,-0.241,1.996,-0.632,-0.726,-0.814,-0.086,-0.302,2,2,7,6,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.936,1.884,-0.726,0.718,-0.086,1.754,2,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.873,-0.659,-0.422,-0.241,-0.676,1.884,-0.726,-0.953,-0.086,-0.302,3,2,3,8,1,0,0,0,0,0,0,0,1,0,0,0,0
-0.457,-0.29,0.332,-0.131,1.662,-0.632,-0.726,-0.6,-0.086,-0.302,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.973,1.884,-0.726,1.376,-0.086,-0.302,4,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.124,0.61,-0.422,-0.241,1.848,-0.632,-0.624,-0.557,-0.086,-0.302,3,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1
-0.124,-0.038,-0.422,-0.241,-0.676,-0.632,-0.726,0.111,-0.086,0.726,2,2,3,4,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,0.029,0.045,-0.726,0.185,-0.086,-0.302,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1.206,2.13,-0.422,-0.241,0.029,-0.632,-0.482,-0.703,-0.086,-0.302,1,1,3,2,0,1,0,0,0,0,0,0,0,1,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.936,0.404,-0.726,0.718,-0.086,-0.302,2,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1
