Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,cluster,cluster_name
6,104.5,0.0,0.0,11,120.675,0.0,0.013333333,0.0,0.0,December,4,1,4,8,New_Visitor,False,False,2,Low
0,0.0,0.0,0.0,10,0.0,0.0,0.01,0.0,0.0,March,2,2,5,2,Returning_Visitor,False,False,0,Medium
0,0.0,0.0,0.0,20,96.875,0.015789474,0.018421053,0.0,0.0,December,1,2,1,1,Returning_Visitor,False,True,1,Loyal
0,0.0,0.0,0.0,18,0.0,0.0,0.005555556,0.0,0.0,March,1,1,2,2,Returning_Visitor,True,False,1,Loyal
0,0.0,0.0,0.0,6,83.0,0.016666667,0.033333333,0.0,0.0,March,3,2,8,8,Returning_Visitor,False,False,0,Medium
1,41.0,0.0,0.0,43,108.725,0.0,0.013636364,0.0,0.0,March,4,2,1,1,Returning_Visitor,False,False,1,Loyal
4,155.5,0.0,0.0,13,0.0,0.0,0.00625,0.0,0.0,March,3,2,1,1,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,9,0.0,0.2,0.2,0.0,0.8,May,2,2,4,13,Returning_Visitor,False,False,2,Low
5,41.3,0.0,0.0,24,0.0,0.0,0.008602151,0.0,1.0,February,2,2,8,1,Returning_Visitor,True,False,0,Medium
6,151.7,0.0,0.0,34,0.0,0.017647059,0.023340336,0.0,0.0,December,3,2,1,2,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,7,0.0,0.0,0.007142857,0.0,0.0,October,2,2,1,2,Returning_Visitor,False,False,1,Loyal
1,3.0,0.0,0.0,11,0.0,0.0,0.005,0.0,0.0,May,4,2,1,3,Returning_Visitor,False,False,1,Loyal
1,7.1,0.0,0.0,16,0.0,0.0,0.029411765,0.0,0.0,June,2,5,3,2,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,4,104.0,0.0,0.05,0.0,0.4,February,2,6,6,3,Returning_Visitor,False,False,0,Medium
3,0.0,0.0,0.0,7,0.0,0.0,0.00952381,0.0,0.0,September,3,2,1,2,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,15,428.0,0.0,0.014285714,0.0,0.0,November,1,8,3,6,Returning_Visitor,True,True,1,Loyal
2,29.0,1.0,0.0,9,536.0,0.0,0.018181818,0.0,0.0,May,2,2,3,4,New_Visitor,False,True,1,Loyal
3,5.0,0.0,0.0,16,0.0,0.044444444,0.075925926,0.0,0.0,October,3,2,1,4,Returning_Visitor,True,False,1,Loyal
0,0.0,0.0,0.0,100,0.0,0.012,0.037666667,0.0,0.0,December,2,6,3,1,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,6,93.0,0.066666667,0.083333333,0.0,0.0,November,4,2,3,13,Returning_Visitor,False,False,2,Low
5,152.1,0.0,0.0,27,0.0,0.014814815,0.030123457,0.0,0.0,October,3,3,6,1,Returning_Visitor,True,False,0,Medium
0,0.0,0.0,0.0,8,0.0,0.0,0.028571429,0.0,0.6,May,2,4,9,5,Returning_Visitor,False,True,0,Medium
0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,December,2,4,1,1,Returning_Visitor,True,False,1,Loyal
8,0.0,4.0,182.8,46,0.0,0.003773585,0.014375562,0.0,0.0,November,1,1,3,3,Returning_Visitor,True,True,1,Loyal
3,53.5,1.0,18.0,42,0.0,0.0,0.022101449,0.0,0.0,November,2,2,2,1,Returning_Visitor,False,False,1,Loyal
5,54.0,0.0,0.0,15,3045.0,0.0,0.010526316,0.0,0.0,May,2,2,6,2,Returning_Visitor,False,False,0,Medium
9,281.75,2.0,144.5,116,0.0,0.0,0.011083789,0.0,0.8,May,6,2,2,3,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,2,34.0,0.0,0.1,0.0,0.0,May,2,2,1,4,Returning_Visitor,True,False,1,Loyal
0,0.0,0.0,0.0,20,5.451,0.01,0.031666667,0.0,0.0,July,3,2,8,4,Returning_Visitor,False,False,0,Medium
4,0.0,0.0,0.0,125,0.0,0.00962963,0.022299824,0.0,0.0,November,2,5,3,1,Returning_Visitor,False,True,1,Loyal
3,66.4,0.0,0.0,16,0.0,0.022222222,0.035555556,0.0,0.0,September,3,2,3,5,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,11,1165.0,0.036363636,0.075757576,0.0,0.0,December,2,2,1,1,Returning_Visitor,False,False,1,Loyal
2,75.6,2.0,68.4,2,0.0,0.0,0.033333333,0.0,0.0,October,2,2,7,2,New_Visitor,True,False,0,Medium
0,0.0,0.0,0.0,2,0.0,0.2,0.2,0.0,0.0,November,1,1,1,3,Returning_Visitor,True,False,1,Loyal
4,126.5,0.0,0.0,4,1388.0,0.0,0.004761905,0.0,0.0,May,1,1,1,4,New_Visitor,True,False,1,Loyal
3,14.0,0.0,0.0,36,0.0,0.0,0.006078431,0.0,0.0,December,2,2,1,10,Returning_Visitor,False,False,2,Low
0,0.0,0.0,0.0,22,0.0,0.00952381,0.00952381,0.0,0.0,October,1,1,1,2,Returning_Visitor,False,False,1,Loyal
1,0.0,0.0,0.0,8,13.403,0.0,0.025,0.0,0.0,September,1,2,3,4,Returning_Visitor,False,False,1,Loyal
10,247.15,3.0,788.0,111,0.0,0.000423729,0.00814597,0.0,0.0,November,2,2,1,3,Returning_Visitor,False,False,1,Loyal
7,0.0,0.0,0.0,43,0.0,0.030612245,0.055782313,0.0,0.0,July,2,2,2,13,Returning_Visitor,False,False,2,Low
2,18.0,0.0,0.0,15,0.0,0.0125,0.0625,0.0,0.0,March,2,10,3,1,Returning_Visitor,False,True,1,Loyal
3,39.5,2.0,51.0,33,8.145,0.006060606,0.01969697,0.0,0.8,May,2,2,4,1,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,5,168.0,0.04,0.08,0.0,0.0,November,3,2,1,2,Returning_Visitor,False,False,1,Loyal
6,107.7,0.0,0.0,14,2908.0,0.0,0.010526316,0.0,0.0,September,2,2,1,5,New_Visitor,False,False,1,Loyal
1,41.4,0.0,0.0,30,0.0,0.009090909,0.046464646,0.0,0.0,September,2,10,2,1,Returning_Visitor,False,True,1,Loyal
4,72.0,0.0,0.0,4,465.0,0.04,0.06,0.0,0.0,November,3,2,2,3,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,2,0.0,0.2,0.2,0.0,0.0,November,1,1,4,1,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,2,14.0,0.0,0.1,0.0,0.2,May,3,2,3,1,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,21,4345.0,0.0,0.023809524,0.0,0.0,March,2,2,7,1,Returning_Visitor,False,False,0,Medium
0,0.0,0.0,0.0,11,38.225,0.018181818,0.063636364,0.0,0.0,December,2,2,3,2,Returning_Visitor,False,False,1,Loyal
2,50.5,0.0,0.0,70,0.0,0.002898551,0.017230274,0.0,0.0,November,2,2,3,3,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,4,87.875,0.0,0.026666667,0.0,0.0,November,1,1,4,10,Returning_Visitor,True,True,2,Low
8,126.0,1.0,13.4,13,0.0,0.033333333,0.062,0.0,0.0,October,2,2,1,13,Returning_Visitor,False,False,2,Low
0,0.0,0.0,0.0,11,0.0,0.027272727,0.025757576,0.0,0.0,December,3,2,6,2,Returning_Visitor,True,False,0,Medium
0,0.0,0.0,0.0,4,0.0,0.1,0.0875,0.0,0.0,December,3,2,3,2,Returning_Visitor,False,False,1,Loyal
0,0.0,1.0,42.4,61,0.0,0.0,0.002833333,0.0,0.0,June,2,2,6,2,Returning_Visitor,False,False,0,Medium
10,0.0,5.0,74.5,181,0.0,0.0,0.012467279,0.0,0.0,October,2,2,4,1,Returning_Visitor,False,False,1,Loyal
1,57.5,0.0,0.0,23,0.0,0.0,0.008695652,0.0,0.0,December,4,5,1,8,New_Visitor,True,True,2,Low
0,0.0,0.0,0.0,2,33.0,0.0,0.1,0.0,0.2,February,1,1,1,3,Returning_Visitor,False,False,1,Loyal
2,7.0,0.0,0.0,3,66.0,0.0,0.066666667,0.0,0.0,March,2,2,1,2,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,7,451.0,0.0,0.033333333,0.0,0.0,March,2,2,4,1,New_Visitor,False,True,1,Loyal
2,6.0,0.0,0.0,42,150.325,0.001550388,0.031007752,0.0,0.0,March,2,2,6,1,Returning_Visitor,False,False,0,Medium
1,2.0,1.0,0.0,77,0.0,0.005128205,0.02648199,0.0,0.0,December,2,2,1,2,Returning_Visitor,False,True,1,Loyal
7,0.0,1.0,39.0,4,0.0,0.0,0.011111111,0.0,0.0,May,3,2,1,2,Returning_Visitor,False,False,1,Loyal
0,0.0,1.0,11.0,54,0.0,0.003636364,0.022545455,0.0,0.0,September,1,1,3,2,Returning_Visitor,True,False,1,Loyal
3,35.0,0.0,0.0,16,352.0,0.0,0.011764706,0.0,0.0,March,2,2,2,1,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,8,335.0,0.025,0.05,63891.0,0.0,May,3,2,4,1,Returning_Visitor,False,True,1,Loyal
0,0.0,0.0,0.0,23,0.0,0.013043478,0.015217391,0.0,0.0,December,1,1,6,3,Returning_Visitor,False,False,0,Medium
0,0.0,0.0,0.0,5,439.0,0.0,0.02,0.0,0.0,September,2,2,1,2,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,9,1715.0,0.0,0.022222222,0.0,0.0,November,2,2,2,13,Returning_Visitor,False,False,2,Low
0,0.0,0.0,0.0,6,1065.0,0.0,0.033333333,0.0,0.0,May,1,1,1,3,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,7,0.0,0.0125,0.033333333,0.0,0.0,July,2,2,7,2,New_Visitor,False,True,0,Medium
1,12.0,2.0,39.5,23,48.875,0.0,0.015277778,0.0,0.0,December,2,2,1,1,Returning_Visitor,True,False,1,Loyal
0,0.0,0.0,0.0,18,5.505,0.0,0.031481481,0.0,0.0,March,1,1,1,2,Returning_Visitor,True,False,1,Loyal
0,0.0,1.0,6.0,13,278.275,0.0,0.005128205,0.0,0.4,May,2,2,9,2,New_Visitor,False,False,0,Medium
1,21.0,0.0,0.0,23,52.975,0.0,0.009090909,0.0,0.0,November,1,2,1,8,New_Visitor,False,True,2,Low
1,74.0,0.0,0.0,21,0.0,0.0,0.01,0.0,0.0,May,2,2,1,2,New_Visitor,True,False,1,Loyal
10,0.0,1.0,7.0,82,0.0,0.004318937,0.017004257,0.0,0.0,November,3,2,1,13,Returning_Visitor,False,True,2,Low
0,0.0,0.0,0.0,10,0.0,0.0,0.04,0.0,0.0,November,1,1,1,2,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,35,0.0,0.005714286,0.024285714,0.0,0.2,May,2,2,6,3,Returning_Visitor,False,True,0,Medium
3,60.25,0.0,0.0,8,0.0,0.02,0.013333333,0.0,0.0,November,3,2,1,2,New_Visitor,False,False,1,Loyal
7,0.0,4.0,46.5,26,0.0,0.0,0.018487395,0.0,0.0,November,3,2,9,2,New_Visitor,True,True,0,Medium
0,0.0,0.0,0.0,5,77.0,0.0,0.04,0.0,0.0,March,2,4,1,3,Returning_Visitor,True,False,1,Loyal
0,0.0,0.0,0.0,0,0.0,0.18,0.181818182,0.0,0.0,June,2,2,7,6,Returning_Visitor,False,False,0,Medium
3,0.0,2.0,199.4,150,0.0,0.005664488,0.016427015,0.0,0.0,October,2,2,3,13,Returning_Visitor,True,False,2,Low
0,0.0,0.0,0.0,2,6.975,0.0,0.1,0.0,0.0,December,4,1,3,1,Returning_Visitor,False,False,1,Loyal
2,42.4,0.0,0.0,24,0.0,0.025,0.041319444,0.0,0.0,December,3,2,3,1,Returning_Visitor,False,False,1,Loyal
7,381.75,0.0,0.0,69,0.0,0.011805556,0.034545686,0.0,0.0,November,1,1,1,2,Returning_Visitor,False,True,1,Loyal
2,150.6,0.0,0.0,86,0.0,0.023255814,0.041100372,0.0,0.0,September,2,2,1,1,Returning_Visitor,False,False,1,Loyal
0,0.0,3.0,0.0,44,245.375,0.0,0.001111111,48868.0,0.0,May,1,1,8,2,Returning_Visitor,True,True,0,Medium
1,5.0,0.0,0.0,108,23.674,0.0,0.003773585,0.0,0.0,December,2,2,1,2,New_Visitor,True,False,1,Loyal
4,75.5,0.0,0.0,10,0.0,0.023076923,0.038461538,0.0,0.0,October,1,1,3,2,Returning_Visitor,True,True,1,Loyal
5,73.8,0.0,0.0,5,825.0,0.0,0.028571429,0.0,0.0,August,2,5,6,5,New_Visitor,False,False,0,Medium
0,0.0,0.0,0.0,71,10.572,0.122222222,0.129580026,0.0,0.0,June,3,2,2,13,Returning_Visitor,True,False,2,Low
1,12.0,0.0,0.0,13,20.045,0.028571429,0.04047619,0.0,0.0,March,1,1,6,2,Returning_Visitor,True,False,0,Medium
0,0.0,0.0,0.0,2,20.0,0.0,0.1,0.0,0.0,December,2,2,1,1,Returning_Visitor,False,False,1,Loyal
1,0.0,2.0,27.0,31,42.475,0.019047619,0.039292517,0.0,0.0,November,2,2,3,1,Returning_Visitor,False,True,1,Loyal
6,287.0,0.0,0.0,80,0.0,0.011084337,0.025771658,0.579785745,0.0,October,2,2,4,3,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,5,60.0,0.0,0.053333333,0.0,0.0,December,2,2,1,20,Returning_Visitor,False,False,2,Low
0,0.0,1.0,0.0,11,0.0,0.05,0.083333333,0.0,0.0,December,3,2,1,1,Returning_Visitor,False,False,1,Loyal
0,0.0,1.0,24.0,27,15.475,0.003703704,0.014814815,0.0,0.0,March,3,2,1,1,Returning_Visitor,False,False,1,Loyal
4,76.8,0.0,0.0,59,0.0,0.010055755,0.022337803,0.0,0.0,July,2,6,2,7,Returning_Visitor,False,False,1,Loyal
13,498.9,0.0,0.0,221,0.0,0.0,0.006020558,0.0,0.0,October,2,5,4,2,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,13,0.0,0.0,0.011794872,0.0,0.0,November,3,2,3,2,New_Visitor,True,False,1,Loyal
1,28.0,0.0,0.0,14,924.0,0.014285714,0.028571429,0.0,0.0,May,1,1,3,4,Returning_Visitor,True,False,1,Loyal
3,17.0,0.0,0.0,71,0.0,0.005555556,0.019907407,0.0,0.0,December,2,2,7,3,Returning_Visitor,False,False,0,Medium
1,7.5,0.0,0.0,63,0.0,0.024623656,0.03604734,0.0,0.0,November,3,2,1,3,Returning_Visitor,False,False,1,Loyal
1,43.0,0.0,0.0,26,0.0,0.016,0.019666667,0.0,0.0,December,1,1,1,10,Returning_Visitor,True,False,2,Low
6,71.5,0.0,0.0,79,185.426,0.039,0.06880303,0.0,0.0,July,2,2,9,1,Returning_Visitor,False,False,0,Medium
6,93.0,2.0,23.0,37,783.875,0.003409091,0.031709957,0.0,0.0,November,2,2,1,11,Returning_Visitor,True,False,2,Low
0,0.0,0.0,0.0,12,11.525,0.066666667,0.108333333,0.0,0.0,November,2,2,1,1,Returning_Visitor,False,False,1,Loyal
1,73.6,1.0,31.2,52,0.0,0.003703704,0.018312757,0.0,0.0,September,2,2,1,1,Returning_Visitor,False,False,1,Loyal
6,0.0,0.0,0.0,22,0.0,0.0,0.014666667,0.0,0.0,March,2,2,3,2,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,6,202.0,0.033333333,0.05,0.0,0.4,May,2,2,6,4,Returning_Visitor,False,False,0,Medium
0,0.0,0.0,0.0,32,172.375,0.006666667,0.026666667,0.0,0.0,May,2,2,6,3,Returning_Visitor,False,False,0,Medium
2,26.0,0.0,0.0,22,0.0,0.0,0.0125,0.0,0.0,March,1,1,6,8,Returning_Visitor,False,False,2,Low
4,52.5,0.0,0.0,11,4635.0,0.0,0.007692308,0.0,0.0,November,3,2,6,11,New_Visitor,True,False,2,Low
1,13.75,0.0,0.0,32,0.0,0.000840336,0.027058824,0.0,0.0,November,2,2,2,6,Returning_Visitor,False,True,1,Loyal
4,0.0,6.0,104.5,111,0.0,0.005420054,0.006678351,0.0,0.0,May,1,1,2,3,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,11,976.0,0.0,0.033333333,0.0,0.0,May,2,2,1,1,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,9,436.0,0.0,0.025,0.0,0.0,December,1,2,2,2,New_Visitor,False,True,1,Loyal
3,19.25,0.0,0.0,8,0.0,0.0,0.046969697,0.0,0.0,November,3,2,1,10,Returning_Visitor,True,False,2,Low
7,0.0,10.0,902.5,131,0.0,0.002857143,0.012557561,0.0,0.0,December,2,2,1,2,Returning_Visitor,False,False,1,Loyal
2,64.5,1.0,0.0,97,0.0,0.003436426,0.021408935,0.0,0.0,November,2,2,1,13,Returning_Visitor,False,True,2,Low
2,54.5,4.0,29.5,11,105.575,0.0,0.026666667,0.0,0.0,December,2,2,1,2,New_Visitor,False,False,1,Loyal
9,0.0,1.0,13.0,42,0.0,0.036601307,0.055504202,0.0,0.0,May,3,2,1,13,Returning_Visitor,False,False,2,Low
1,5.0,0.0,0.0,65,0.0,0.003174603,0.01005291,0.0,0.0,December,3,2,3,6,Returning_Visitor,True,False,1,Loyal
8,0.0,0.0,0.0,15,0.0,0.0,0.012280702,0.0,0.0,November,1,1,1,2,New_Visitor,False,False,1,Loyal
1,512.0,0.0,0.0,5,322.0,0.0,0.06,0.0,0.6,May,1,1,1,3,Returning_Visitor,False,False,1,Loyal
12,521.075,0.0,0.0,83,0.0,0.0,0.011196593,0.0,0.0,December,2,2,7,6,Returning_Visitor,False,False,0,Medium
0,0.0,0.0,0.0,4,352.0,0.0,0.05,0.0,0.4,May,2,2,3,1,Returning_Visitor,False,False,1,Loyal
5,0.0,0.0,0.0,11,3965.0,0.0,0.007692308,0.0,0.0,November,3,2,3,8,New_Visitor,True,False,2,Low
1,19.0,1.0,14.0,74,0.0,0.0,0.016621622,0.0,0.0,November,2,2,1,2,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,3,558.0,0.0,0.066666667,0.0,0.0,March,4,1,3,1,Returning_Visitor,False,False,1,Loyal
2,65.4,0.0,0.0,79,0.0,0.001265823,0.017721519,0.0,0.0,September,3,2,1,3,Returning_Visitor,False,False,1,Loyal
2,32.0,0.0,0.0,11,0.0,0.0,0.034615385,0.0,0.2,May,2,2,3,4,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,30,68.575,0.0,0.036507937,0.0,0.0,December,2,2,2,3,Returning_Visitor,False,False,1,Loyal
6,432.2,0.0,0.0,30,0.0,0.003030303,0.014018978,0.0,0.0,October,1,1,3,2,Returning_Visitor,False,True,1,Loyal
0,0.0,0.0,0.0,4,105.0,0.0,0.05,0.0,0.0,November,2,5,3,1,Returning_Visitor,False,False,1,Loyal
3,30.25,0.0,0.0,21,0.0,0.017391304,0.02826087,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,True,1,Loyal
0,0.0,0.0,0.0,6,935.0,0.016666667,0.066666667,0.0,0.0,December,1,1,3,1,Returning_Visitor,True,False,1,Loyal
3,119.0,0.0,0.0,6,1975.0,0.022222222,0.022222222,0.0,1.0,May,6,2,3,2,New_Visitor,True,False,1,Loyal
5,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,August,4,2,1,2,Returning_Visitor,False,True,1,Loyal
0,0.0,0.0,0.0,8,232.0,0.0,0.025,0.0,0.0,July,1,2,1,2,Returning_Visitor,True,False,1,Loyal
0,0.0,0.0,0.0,17,5.574,0.0,0.011111111,0.0,0.0,September,2,2,2,2,New_Visitor,True,True,1,Loyal
0,0.0,0.0,0.0,24,0.0,0.0,0.004347826,0.0,0.0,May,2,2,1,4,New_Visitor,False,True,1,Loyal
1,337.0,1.0,39.0,16,6.305,0.0,0.00625,28794.0,0.0,May,3,2,1,11,Returning_Visitor,True,True,2,Low
0,0.0,0.0,0.0,20,0.0,0.01,0.028888889,0.0,0.0,December,1,2,3,2,New_Visitor,False,True,1,Loyal
8,166.7,0.0,0.0,9,1717.0,0.016666667,0.05,0.0,0.0,November,2,2,1,3,Returning_Visitor,False,False,1,Loyal
3,21.5,2.0,70.875,28,0.0,0.007070707,0.032525253,0.0,0.0,December,1,1,2,3,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,November,3,2,3,13,Returning_Visitor,False,False,2,Low
5,136.0,1.0,13.0,85,0.0,0.005998168,0.019225201,0.0,0.0,November,1,1,1,2,Returning_Visitor,True,True,1,Loyal
0,0.0,0.0,0.0,13,0.0,0.0,0.028205128,0.0,0.8,May,1,1,1,2,Returning_Visitor,False,False,1,Loyal
2,0.0,3.0,245.8,28,52.406,0.02,0.054666667,0.0,0.0,October,2,2,7,1,Returning_Visitor,False,True,0,Medium
0,0.0,0.0,0.0,4,0.0,0.2,0.2,0.0,0.0,July,3,2,1,13,Returning_Visitor,False,False,2,Low
1,7.0,0.0,0.0,9,1605.0,0.0,0.025,0.0,0.0,May,2,2,2,3,Returning_Visitor,False,False,1,Loyal
3,133.5,4.0,191.0,15,0.0,0.0,0.02,0.0,0.0,May,1,1,3,6,Returning_Visitor,False,False,1,Loyal
3,604.5,6.0,0.0,50,0.0,0.019393939,0.037838384,0.0,1.0,May,1,1,3,15,Returning_Visitor,True,False,2,Low
0,0.0,0.0,0.0,112,0.0,0.0,0.008744589,0.0,0.0,November,2,4,1,3,Returning_Visitor,False,False,1,Loyal
12,0.0,0.0,0.0,52,0.0,0.0,0.00327381,0.0,0.0,May,1,2,2,2,Returning_Visitor,True,False,1,Loyal
19,0.0,4.0,116.0,64,0.0,0.002531646,0.016289934,4642.0,0.0,March,2,2,2,2,Returning_Visitor,False,True,1,Loyal
0,0.0,0.0,0.0,10,254.0,0.02,0.04,140292.0,0.0,March,2,2,9,2,New_Visitor,False,True,0,Medium
3,203.0,0.0,0.0,28,2394.0,0.033333333,0.057619048,0.0,0.0,May,2,2,7,1,Returning_Visitor,False,False,0,Medium
2,48.4,0.0,0.0,2,372.0,0.0,0.05,0.0,0.0,June,1,1,1,2,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,22,0.0,0.0,0.016666667,0.0,0.0,March,1,1,1,2,Returning_Visitor,False,False,1,Loyal
3,113.1,0.0,0.0,17,0.0,0.0,0.033333333,0.0,0.0,October,1,1,2,4,Returning_Visitor,False,True,1,Loyal
2,98.0,0.0,0.0,81,2628.0,0.002469136,0.012345679,0.602232815,0.0,December,2,1,1,2,Returning_Visitor,False,True,1,Loyal
1,29.5,0.0,0.0,26,0.0,0.008,0.016,0.0,0.0,November,2,5,2,1,Returning_Visitor,False,True,1,Loyal
0,0.0,0.0,0.0,13,0.0,0.0,0.020512821,0.0,0.0,May,2,2,4,13,Returning_Visitor,False,False,2,Low
0,0.0,0.0,0.0,43,0.0,0.0,0.006976744,0.0,0.0,May,2,4,1,2,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,2,17.0,0.0,0.1,0.0,0.0,December,8,2,7,2,Returning_Visitor,False,False,0,Medium
10,0.0,1.0,6.0,19,0.0,0.0,0.018518519,0.0,0.0,September,2,2,5,5,Returning_Visitor,True,True,0,Medium
0,0.0,0.0,0.0,76,0.0,0.005866667,0.019555556,0.0,0.0,May,2,2,3,4,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,23,723.0,0.015873016,0.026077098,0.0,0.0,December,3,2,2,13,Returning_Visitor,False,False,2,Low
4,73.75,1.0,58.0,12,7.775,0.0,0.015555556,10782.0,0.0,March,2,2,1,2,Returning_Visitor,True,True,1,Loyal
